Facility_ID,Facility_Name,Date,Energy_Source,Energy_Consumed_kWh,Emission_Factor_kg_CO2_per_kWh,CO2_Emissions_kg,Carbon_Credits_Generated,Fuel_Type,Deviation_Flag,Duplicate_Flag,Exception_Type,Data_Quality_Score,Status
SES-SOL001,Solar Farm - North,2025-01-01,Solar,6800,0.05,340,6.8,Renewable,0,0,None,99,Valid
SES-SOL001,Solar Farm - North,2025-01-02,Solar,6900,0.05,345,6.9,Renewable,0,0,None,99,Valid
SES-SOL002,Solar Farm - South,2025-01-01,Solar,6500,0.05,325,6.5,Renewable,0,0,None,99,Valid
SES-WND001,Wind Farm - Coastal,2025-01-01,Wind,8200,0.08,656,13.12,Renewable,0,0,None,98,Valid
SES-WND001,Wind Farm - Coastal,2025-01-02,Wind,8400,0.08,672,13.44,Renewable,0,0,None,98,Valid
SES-WND002,Wind Farm - Ridge,2025-01-01,Wind,7800,0.08,624,12.48,Renewable,0,0,None,98,Valid
SES-HYD001,Hydroelectric Plant,2025-01-01,Hydro,5500,0.02,110,2.2,Renewable,0,0,None,99,Valid
SES-HYD001,Hydroelectric Plant,2025-01-02,Hydro,5600,0.02,112,2.24,Renewable,0,0,None,99,Valid
SES-BIO001,Biomass Facility,2025-01-01,Biomass,4200,0.15,630,12.6,Renewable,0,0,None,96,Valid
SES-GRD001,Grid Services,2025-01-01,Electricity,3500,0.65,2275,45.5,Grid Power,0,0,None,95,Valid
SES-SOL002,Solar Farm - South,2025-01-02,Solar,6600,0.05,330,6.6,Renewable,0,0,None,99,Valid
SES-WND002,Wind Farm - Ridge,2025-01-02,Wind,7900,0.08,632,12.64,Renewable,0,0,None,98,Valid
SES-HYD001,Hydroelectric Plant,2025-01-03,Hydro,5450,0.02,109,2.18,Renewable,0,0,None,99,Valid
SES-BIO001,Biomass Facility,2025-01-02,Biomass,4350,0.15,652.5,13.05,Renewable,0,1,Duplicate,93,Warning
SES-GRD001,Grid Services,2025-01-02,Electricity,3600,0.65,2340,46.8,Grid Power,0,0,None,95,Valid
SES-SOL001,Solar Farm - North,2025-01-03,Solar,7000,0.05,350,7,Renewable,0,0,None,99,Valid
SES-WND001,Wind Farm - Coastal,2025-01-03,Wind,8100,0.08,648,12.96,Renewable,0,0,None,98,Valid
SES-HYD001,Hydroelectric Plant,2025-01-04,Hydro,5700,0.02,114,2.28,Renewable,1,0,Deviation,96,Warning
SES-BIO001,Biomass Facility,2025-01-03,Biomass,4100,0.15,615,12.3,Renewable,0,0,None,96,Valid
SES-GRD001,Grid Services,2025-01-03,Electricity,3400,0.65,2210,44.2,Grid Power,0,0,None,95,Valid
