Reporting_Period,Entity_ID,Entity_Name,Facility_ID,Facility_Name,Activity_Type,Fuel_Type,Activity_Value_Unit,Activity_Value,Emission_Factor_kg_CO2_per_Unit,EF_Source,EF_Version,Adjustments_Renewable_MWh,Adjustments_Other,Output_Type,Output_Unit,Output_Value,Notes,Evidence_Reference,Validation_Status,Anomaly_Flag
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-BF001,Blast Furnace 1,Fuel Combustion,Coke,tonnes,2850,2.10,BEE-Library,v3.2,0,0,Steel Production,tonnes,5200,Iron ore reduction - High carbon process,INV-2024-101,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-BF002,Blast Furnace 2,Fuel Combustion,Coke,tonnes,2750,2.10,BEE-Library,v3.2,0,0,Steel Production,tonnes,5200,Secondary blast furnace,INV-2024-102,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-EAF001,Electric Arc Furnace (60% scrap),Electricity,Grid Power,MWh,1200,0.65,BEE-Library,v3.2,180,0,Steel Production,tonnes,5200,EAF scrap melting with renewable offset,MTR-2024-101,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-ROL001,Rolling Mill,Electricity,Grid Power,MWh,850,0.65,BEE-Library,v3.2,0,0,Steel Production,tonnes,5200,Hot rolling and finishing,MTR-2024-102,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-SOL001,On-site Solar,Electricity,Solar (Captive),MWh,180,0.05,BEE-Library,v3.2,-180,0,Steel Production,tonnes,5200,On-site renewable generation offset,MTR-2024-103,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-BF001,Blast Furnace 1,Fuel Combustion,Coke,tonnes,2920,2.10,BEE-Library,v3.2,0,0,Steel Production,tonnes,5450,Feb production increase,INV-2024-103,Passed,Deviation
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-BF002,Blast Furnace 2,Fuel Combustion,Coke,tonnes,2810,2.10,BEE-Library,v3.2,0,0,Steel Production,tonnes,5450,Feb secondary furnace,INV-2024-104,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-EAF001,Electric Arc Furnace (60% scrap),Electricity,Grid Power,MWh,1280,0.65,BEE-Library,v3.2,200,0,Steel Production,tonnes,5450,EAF Feb with higher renewable,MTR-2024-104,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-ROL001,Rolling Mill,Electricity,Grid Power,MWh,920,0.65,BEE-Library,v3.2,0,0,Steel Production,tonnes,5450,Rolling mill Feb,MTR-2024-105,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-SOL001,On-site Solar,Electricity,Solar (Captive),MWh,195,0.05,BEE-Library,v3.2,-195,0,Steel Production,tonnes,5450,Solar Feb offset,MTR-2024-106,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-BF001,Blast Furnace 1,Fuel Combustion,Coke,tonnes,2880,2.10,BEE-Library,v3.2,0,0,Steel Production,tonnes,5300,Mar production,INV-2024-105,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-BF002,Blast Furnace 2,Fuel Combustion,Coke,tonnes,2780,2.10,BEE-Library,v3.2,0,0,Steel Production,tonnes,5300,Mar secondary,INV-2024-106,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-EAF001,Electric Arc Furnace (60% scrap),Electricity,Grid Power,MWh,1240,0.65,BEE-Library,v3.2,190,0,Steel Production,tonnes,5300,EAF Mar with renewable,MTR-2024-107,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-ROL001,Rolling Mill,Electricity,Grid Power,MWh,890,0.65,BEE-Library,v3.2,0,0,Steel Production,tonnes,5300,Rolling Mar,MTR-2024-108,Passed,None
2024-Q1,GSM-001,Green Steel Manufacturing,GSM-SOL001,On-site Solar,Electricity,Solar (Captive),MWh,188,0.05,BEE-Library,v3.2,-188,0,Steel Production,tonnes,5300,Solar Mar offset,MTR-2024-109,Passed,None
