Reporting_Period,Entity_ID,Entity_Name,Facility_ID,Facility_Name,Activity_Type,Fuel_Type,Activity_Value_Unit,Activity_Value,Emission_Factor_kg_CO2_per_Unit,EF_Source,EF_Version,Adjustments_Renewable_MWh,Adjustments_Other,Output_Type,Output_Unit,Output_Value,Notes,Evidence_Reference,Validation_Status,Anomaly_Flag
2024-Q1,SES-001,Sustainable Energy Solutions,SES-COAL001,Coal Power Plant Unit 1,Fuel Combustion,Coal,tonnes,8500,2.30,BEE-Library,v3.2,0,0,Electricity Generation,MWh,25500,Base load coal generation - Jan,INV-2024-201,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-GAS001,Natural Gas Turbine 1,Fuel Combustion,Natural Gas,m3,125000,0.002,BEE-Library,v3.2,0,0,Electricity Generation,MWh,25500,Peak load gas generation - Jan,INV-2024-202,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-WIND001,Wind Farm (50% capacity factor),Electricity,Wind Power,MWh,5100,0.08,BEE-Library,v3.2,-5100,0,Electricity Generation,MWh,25500,Wind renewable offset - Jan,MTR-2024-201,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-SOLAR001,Solar Park (15% capacity factor),Electricity,Solar Power,MWh,1530,0.05,BEE-Library,v3.2,-1530,0,Electricity Generation,MWh,25500,Solar renewable offset - Jan,MTR-2024-202,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-COAL001,Coal Power Plant Unit 1,Fuel Combustion,Coal,tonnes,8200,2.30,BEE-Library,v3.2,0,0,Electricity Generation,MWh,24600,Feb coal generation,INV-2024-203,Passed,Deviation
2024-Q1,SES-001,Sustainable Energy Solutions,SES-GAS001,Natural Gas Turbine 1,Fuel Combustion,Natural Gas,m3,120000,0.002,BEE-Library,v3.2,0,0,Electricity Generation,MWh,24600,Feb peak load gas,INV-2024-204,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-WIND001,Wind Farm (50% capacity factor),Electricity,Wind Power,MWh,4920,0.08,BEE-Library,v3.2,-4920,0,Electricity Generation,MWh,24600,Feb wind offset,MTR-2024-203,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-SOLAR001,Solar Park (15% capacity factor),Electricity,Solar Power,MWh,1476,0.05,BEE-Library,v3.2,-1476,0,Electricity Generation,MWh,24600,Feb solar offset,MTR-2024-204,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-COAL001,Coal Power Plant Unit 1,Fuel Combustion,Coal,tonnes,8350,2.30,BEE-Library,v3.2,0,0,Electricity Generation,MWh,25050,Mar coal generation,INV-2024-205,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-GAS001,Natural Gas Turbine 1,Fuel Combustion,Natural Gas,m3,122500,0.002,BEE-Library,v3.2,0,0,Electricity Generation,MWh,25050,Mar peak load gas,INV-2024-206,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-WIND001,Wind Farm (50% capacity factor),Electricity,Wind Power,MWh,5010,0.08,BEE-Library,v3.2,-5010,0,Electricity Generation,MWh,25050,Mar wind offset,MTR-2024-205,Passed,None
2024-Q1,SES-001,Sustainable Energy Solutions,SES-SOLAR001,Solar Park (15% capacity factor),Electricity,Solar Power,MWh,1503,0.05,BEE-Library,v3.2,-1503,0,Electricity Generation,MWh,25050,Mar solar offset,MTR-2024-206,Passed,None
